"id","name","slug","country","country_code"
"1497","Aguero Banks","aguero-banks","",""
"708","Al Xapo","al-xapo","",""
"1070","AlunaGeorge","alunageorge","",""
"2043","Andrea Bocelli","andrea-bocelli","",""
"2052","Angekebabuye mc","angekebabuye-mc","",""
"1258","Armanii","armanii","",""
"350","Ayo Maff","ayo-maff","",""
"1012","BBO","bbo","",""
"1199","Bhadboi OML","bhadboi-oml","",""
"1018","Black Coco","black-coco","",""
"2050","Boohle","boohle","",""
"1062","Brick","brick","",""
"1499","Brown Joel","brown-joel","",""
"921","Bryson Tiller","bryson-tiller","",""
"1954","Daddy Lumba","daddy-lumba","",""
"2104","David Guetta","david-guetta","",""
"1067","Deejay MJ","deejay-mj","",""
"2102","Di Genius","di-genius","",""
"1222","Didi B","didi-b","",""
"1551","Dj Boat","dj-boat","",""
"310","DJ Khaled","dj-khaled","",""
"392","Dr Sarah K","dr-sarah-k","",""
"997","Faceless","faceless","",""
"1003","Fameye","fameye","",""
"2067","Feladehusla","feladehusla","",""
"385","G NAKO","g-nako-2","",""
"2089","Heavenly Echoes Ministers","heavenly-echoes-ministers","",""
"1065","Hornsphere","hornsphere","",""
"1017","Hyce","hyce","",""
"2120","I-Octane","i-octane","",""
"2085","IShowSpeed","ishowspeed","",""
"2048","Jay Rock","jay-rock","",""
"988","Jubet","jubet","",""
"1071","JustBasweti","justbasweti","",""
"2147","Kabelo Tiro aka skavenja","kabelo-tiro-aka-skavenja","",""
"1138","Kahu$h","kahuh","",""
"1146","Kali Uchis","kali-uchis","",""
"327","KiDi","kidi","",""
"1085","King Bubby","king-bubby","",""
"1046","King Soundboi","king-soundboi","",""
"929","Kman 6ixx","kman-6ixx","",""
"680","KOJO BLAK","kojo-blak","",""
"421","Kusah","kusah","",""
"1956","Kweku Smoke","kweku-smoke","",""
"2094","Lace","lace","",""
"1011","Lasmid","lasmid","",""
"1091","Levelz UP","levelz-up","",""
"2146","LOVIXX STOSLIV","lovixx-stosliv","",""
"2054","M...","m","",""
"412","Mad G Odeya","mad-g-odeya","",""
"634","Madilu System","madilu-system","",""
"2051","Mano","mano","",""
"337","Masicka","masicka","",""
"2112","Mauvais Djo","mauvais-djo","",""
"1013","Mavo","mavo","",""
"2109","Mellow","mellow","",""
"2113","Miracle LRE","miracle-lre","",""
"2126","Misokuhle","misokuhle","",""
"2053","Mluusician","mluusician","",""
"1955","Mohbad","mohbad","",""
"1408","Mr Eazi","mr-eazi","",""
"822","MSA","msa","",""
"2055","Musa Keys","musa-keys","",""
"1009","Muyeez","muyeez","",""
"336","Nahj","nahj","",""
"2082","Nahsh kariuki Official","nahsh-kariuki-official","",""
"649","Naira Marley","naira-marley","",""
"2073","NDOVU KUU","ndovu-kuu","",""
"2049","Nia Pearl","nia-pearl","",""
"795","Nikita Kering'","nikita-kering","",""
"2047","Nkosazana Daughter","nkosazana-daughter","",""
"2103","Notnice","notnice","",""
"1002","Oberz","oberz","",""
"1024","Olivetheboy","olivetheboy","",""
"922","OnlyMoh","onlymoh","",""
"1043","PAPA NYOSTO","papa-nyosto","",""
"1064","Papa Nyosto","papa-nyosto-2","",""
"975","Ragal Ironbull","ragal-ironbull","",""
"1015","Rord Kelly","rord-kelly","",""
"2086","Ruben Idy","ruben-idy","",""
"831","RUDRA KARTEL","rudra-kartel-2","",""
"814","Rudra Kartel","rudra-kartel","",""
"346","Rybeena","rybeena","",""
"469","Sam Deep","sam-deep","",""
"1000","SAMAD","samad","",""
"2106","SamDan","samdan","",""
"2125","sami kay","sami-kay","",""
"2149","SFEAR N...","sfear-n","",""
"2148","SFEAR NOFOKOL","sfear-nofokol","",""
"1228","Shaboozey","shaboozey","",""
"664","Shakira","shakira","",""
"315","Shallipopi","shallipopi","",""
"710","Shoday","shoday","",""
"2110","Sleaz...","sleaz","",""
"192","SleepTherapy","sleeptherapy","",""
"2108","Slyzza Rsa","slyzza-rsa","",""
"628","Solpulse","solpulse","",""
"868","Spice","spice","",""
"1006","Stahgee","stahgee","",""
"2045","Thatohatsi","thatohatsi","",""
"2087","THE LIGHTBEARERS TZ","the-lightbearers-tz","",""
"2138","THE MOTIONS","the-motions","",""
"485","Toprock Gospel","toprock-gospel","",""
"2084","Tuzo Jerome Tz","tuzo-jerome-tz","",""
"640","TxC","txc","",""
"2057","Uncool MC","uncool-mc","",""
"1345","Usmanial Vibez","usmanial-vibez-2","",""
"312","Valiant","valiant","",""
"505","V-BE","v-be","",""
"1225","Vibez Inc","vibez-inc","",""
"538","Vicoka","vicoka","",""
"693","Victor Ivyic","victor-ivyic","",""
"578","Victor Muthenya","victor-muthenya-2","",""
"495","VICTOR MUTHENYA","victor-muthenya","",""
"589","We Are Nubia","we-are-nubia-2","",""
"314","We are Nubia","we-are-nubia","",""
"564","Wendy Shay","wendy-shay","",""
"1304","YFN Lucci","yfn-lucci","",""
"1957","YOUNG JP","young-jp","",""
"2066","Young Roddo","young-roddo","",""
"2046","Young Stunna","young-stunna","",""
"2127","Yung Miami","yung-miami","",""
"2069","Zagga","zagga","",""
"481","Zlatan","zlatan","",""
